model,seed,true_event,predicted_event,count,share_of_errors,rate_given_true
rotate,20260715,Pass,Goalkeeper leaving line,4,0.000186959569992989,8.154112730608501e-05
rotate,20260715,Pass,Interruption,434,0.020285113344239308,0.008847212312710222
rotate,20260715,Pass,Offside,0,0.0,0.0
rotate,20260715,Pass,Others on the ball,658,0.030754849263846692,0.013413515441850984
rotate,20260715,Pass,Save attempt,0,0.0,0.0
rotate,20260715,Pass,Shot,112,0.005234867959803692,0.0022831515645703802
rotate,20260715,Save attempt,Duel,3,0.00014021967749474175,0.005758157389635317
rotate,20260715,Save attempt,Foul,0,0.0,0.0
rotate,20260715,Save attempt,Free Kick,0,0.0,0.0
rotate,20260715,Save attempt,Goalkeeper leaving line,10,0.00046739892498247256,0.019193857965451054
rotate,20260715,Save attempt,Interruption,11,0.0005141388174807198,0.02111324376199616
rotate,20260715,Save attempt,Offside,0,0.0,0.0
rotate,20260715,Save attempt,Others on the ball,3,0.00014021967749474175,0.005758157389635317
rotate,20260715,Save attempt,Pass,9,0.0004206590324842253,0.01727447216890595
rotate,20260715,Save attempt,Shot,1,4.673989249824725e-05,0.0019193857965451055
rotate,20260715,Shot,Duel,176,0.008226221079691516,0.14355628058727568
rotate,20260715,Shot,Foul,1,4.673989249824725e-05,0.0008156606851549756
rotate,20260715,Shot,Free Kick,0,0.0,0.0
rotate,20260715,Shot,Goalkeeper leaving line,0,0.0,0.0
rotate,20260715,Shot,Interruption,10,0.00046739892498247256,0.008156606851549755
rotate,20260715,Shot,Offside,0,0.0,0.0
rotate,20260715,Shot,Others on the ball,18,0.0008413180649684506,0.01468189233278956
rotate,20260715,Shot,Pass,515,0.024071044636597337,0.4200652528548124
rotate,20260715,Shot,Save attempt,0,0.0,0.0
rotate,20260716,Duel,Foul,138,0.006509741025520072,0.005149253731343284
rotate,20260716,Duel,Free Kick,2,9.434407283362423e-05,7.462686567164179e-05
rotate,20260716,Duel,Goalkeeper leaving line,1,4.717203641681211e-05,3.7313432835820896e-05
rotate,20260716,Duel,Interruption,342,0.016132836454549743,0.012761194029850747
rotate,20260716,Duel,Offside,0,0.0,0.0
rotate,20260716,Duel,Others on the ball,170,0.00801924619085806,0.006343283582089552
rotate,20260716,Duel,Pass,8702,0.41049106089909904,0.32470149253731345
rotate,20260716,Duel,Save attempt,0,0.0,0.0
rotate,20260716,Duel,Shot,208,0.00981178357469692,0.007761194029850746
rotate,20260716,Foul,Duel,48,0.0022642577480069814,0.04020100502512563
rotate,20260716,Foul,Free Kick,38,0.0017925373838388603,0.031825795644891124
rotate,20260716,Foul,Goalkeeper leaving line,0,0.0,0.0
rotate,20260716,Foul,Interruption,5,0.00023586018208406057,0.0041876046901172526
rotate,20260716,Foul,Offside,0,0.0,0.0
rotate,20260716,Foul,Others on the ball,1,4.717203641681211e-05,0.0008375209380234506
rotate,20260716,Foul,Pass,577,0.02721826501250059,0.483249581239531
rotate,20260716,Foul,Save attempt,0,0.0,0.0
rotate,20260716,Foul,Shot,10,0.00047172036416812113,0.008375209380234505
rotate,20260716,Free Kick,Duel,0,0.0,0.0
rotate,20260716,Free Kick,Foul,0,0.0,0.0
rotate,20260716,Free Kick,Goalkeeper leaving line,0,0.0,0.0
rotate,20260716,Free Kick,Interruption,7,0.0003302042549176848,0.0012621709340064912
rotate,20260716,Free Kick,Offside,0,0.0,0.0
rotate,20260716,Free Kick,Others on the ball,2,9.434407283362423e-05,0.0003606202668589975
rotate,20260716,Free Kick,Pass,4,0.00018868814566724845,0.000721240533717995
rotate,20260716,Free Kick,Save attempt,0,0.0,0.0
rotate,20260716,Free Kick,Shot,0,0.0,0.0
