seed,mode,anchor,age,head,pairs,samples,sample_mean_mass,pair_mean_mass,bias_mean
20260715,transition,other,ends_at_anchor,0,58429,58429,0.3072928108698017,0.3072928108698017,-0.764297361266095
20260715,transition,other,ends_at_anchor,1,58429,58429,0.33463852894249646,0.33463852894249646,-1.380992331852813
20260715,transition,other,ends_at_anchor,2,58429,58429,0.16615964883811496,0.16615964883811496,-0.6204233169931833
20260715,transition,other,ends_at_anchor,3,58429,58429,0.16262379294996684,0.16262379294996684,-2.2203204048701437
20260715,transition,other,ends_at_anchor,mean,58429,58429,0.24267869540009498,0.24267869540009498,-1.2465083537455588
20260715,transition,other,age_1_5,0,291553,58413,0.15905878407882362,0.15915390029594195,-0.8861422132799796
20260715,transition,other,age_1_5,1,291553,58413,0.20008319471905775,0.2002348433829208,-2.2271909619000545
20260715,transition,other,age_1_5,2,291553,58413,0.12937863904504224,0.12940418286440108,-0.7582551155252875
20260715,transition,other,age_1_5,3,291553,58413,0.10446861707948721,0.10457008067392635,-3.1951799070585496
20260715,transition,other,age_1_5,mean,291553,58413,0.14824730873060268,0.14834075180429754,-1.7666920494409677
20260715,transition,other,age_6_20,0,869369,58239,0.10891321171883682,0.10894140912820667,-0.9155388662328412
20260715,transition,other,age_6_20,1,869369,58239,0.17116796137077647,0.17133285307417281,-2.4313878634151496
20260715,transition,other,age_6_20,2,869369,58239,0.12106563700112254,0.12114332647598317,-0.7903290642166826
20260715,transition,other,age_6_20,3,869369,58239,0.09766117254389259,0.09780912549580327,-3.428492601850326
20260715,transition,other,age_6_20,mean,869369,58239,0.12470199565865711,0.12480667854354148,-1.89143709892875
20260715,transition,other,age_gt20,0,3292092,57722,0.10094473758848406,0.1010399451157568,-0.9201449759513343
20260715,transition,other,age_gt20,1,3292092,57722,0.1639061608578487,0.16410546713956697,-2.468057015726857
20260715,transition,other,age_gt20,2,3292092,57722,0.11381818082573697,0.11383675332553231,-0.7959295296929203
20260715,transition,other,age_gt20,3,3292092,57722,0.092393517483146,0.09264810184363301,-3.4698704140498724
20260715,transition,other,age_gt20,mean,3292092,57722,0.11776564918880393,0.11790756685612228,-1.913500483855246
20260715,transition,Pass+CONTROL,ends_at_anchor,0,38348,38348,0.2871695307153034,0.2871695307153034,-1.1724760664456564
20260715,transition,Pass+CONTROL,ends_at_anchor,1,38348,38348,0.018885491101262086,0.018885491101262086,-4.190557455933016
20260715,transition,Pass+CONTROL,ends_at_anchor,2,38348,38348,0.16315175163651977,0.16315175163651977,-1.075029861096876
20260715,transition,Pass+CONTROL,ends_at_anchor,3,38348,38348,0.0014022957000831495,0.0014022957000831495,-5.453061433425254
20260715,transition,Pass+CONTROL,ends_at_anchor,mean,38348,38348,0.1176522672882921,0.1176522672882921,-2.9727812042252006
20260715,transition,Pass+CONTROL,age_1_5,0,191477,38364,0.1607289942584709,0.16073582948087112,-0.9870895615957217
20260715,transition,Pass+CONTROL,age_1_5,1,191477,38364,0.13353864378136623,0.13362583189389954,-2.903163682063555
20260715,transition,Pass+CONTROL,age_1_5,2,191477,38364,0.1431743930439605,0.14322524227990135,-0.8653025547757588
20260715,transition,Pass+CONTROL,age_1_5,3,191477,38364,0.07223916200213032,0.07230732092280058,-3.9699642108083224
20260715,transition,Pass+CONTROL,age_1_5,mean,191477,38364,0.127420298271482,0.12747355614436814,-2.1813800023108394
20260715,transition,Pass+CONTROL,age_6_20,0,571171,38253,0.10749689642909163,0.10755019397159461,-0.9439178834744478
20260715,transition,Pass+CONTROL,age_6_20,1,571171,38253,0.15556585776415932,0.1557670917722264,-2.6013129929202967
20260715,transition,Pass+CONTROL,age_6_20,2,571171,38253,0.11705336225858635,0.1171200000637786,-0.8179723160780056
