configuration,seed,task,layer,relation,message_norm
pg_shared,20260715,shared,layer2,zone__end_of__event,208.72308349609375
pg_shared,20260715,shared,layer2,event__belongs_to__possession,93.1139144897461
pg_shared,20260715,shared,layer2,possession__contains__event,183.4896697998047
pg_shared,20260715,shared,layer2,possession__owned_by__team,0.0
pg_shared,20260715,shared,layer2,team__has_possession__possession,0.0
pg_shared,20260715,shared,layer2,possession__next__possession,0.0
pg_shared,20260716,shared,layer1,event__next__event,92.92986297607422
pg_shared,20260716,shared,layer1,event__gap_0_2s__event,64.38399505615234
pg_shared,20260716,shared,layer1,event__gap_2_5s__event,69.14368438720703
pg_shared,20260716,shared,layer1,event__gap_5_15s__event,47.64027404785156
pg_shared,20260716,shared,layer1,event__gap_15_60s__event,49.6295051574707
pg_shared,20260716,shared,layer1,event__gap_60plus__event,0.0
pg_shared,20260716,shared,layer1,event__period_break__event,0.0
pg_shared,20260716,shared,layer1,player__performs__event,94.51654052734375
pg_shared,20260716,shared,layer1,event__performed_by__player,81.97637176513672
pg_shared,20260716,shared,layer1,team__performs__event,90.099853515625
pg_shared,20260716,shared,layer1,event__performed_by_team__team,76.84336853027344
pg_shared,20260716,shared,layer1,event__has_type__event_type,74.1318359375
pg_shared,20260716,shared,layer1,event_type__describes__event,103.2344741821289
pg_shared,20260716,shared,layer1,event__has_tag__tag,90.62388610839844
pg_shared,20260716,shared,layer1,tag__describes__event,116.83084869384766
pg_shared,20260716,shared,layer1,event__starts_in__zone,103.99028015136719
pg_shared,20260716,shared,layer1,zone__start_of__event,101.95386505126953
pg_shared,20260716,shared,layer1,event__ends_in__zone,107.5329360961914
pg_shared,20260716,shared,layer1,zone__end_of__event,115.13932037353516
pg_shared,20260716,shared,layer1,event__belongs_to__possession,82.40436553955078
pg_shared,20260716,shared,layer1,possession__contains__event,102.9006118774414
pg_shared,20260716,shared,layer1,possession__owned_by__team,0.0
pg_shared,20260716,shared,layer1,team__has_possession__possession,0.0
pg_shared,20260716,shared,layer1,possession__next__possession,0.0
pg_shared,20260716,shared,layer2,event__next__event,146.18280029296875
pg_shared,20260716,shared,layer2,event__gap_0_2s__event,113.86186218261719
pg_shared,20260716,shared,layer2,event__gap_2_5s__event,115.4691162109375
pg_shared,20260716,shared,layer2,event__gap_5_15s__event,51.74077224731445
pg_shared,20260716,shared,layer2,event__gap_15_60s__event,45.51771926879883
pg_shared,20260716,shared,layer2,event__gap_60plus__event,0.0
pg_shared,20260716,shared,layer2,event__period_break__event,0.0
pg_shared,20260716,shared,layer2,player__performs__event,162.42127990722656
pg_shared,20260716,shared,layer2,event__performed_by__player,130.1112518310547
pg_shared,20260716,shared,layer2,team__performs__event,189.3543243408203
pg_shared,20260716,shared,layer2,event__performed_by_team__team,110.22700500488281
pg_shared,20260716,shared,layer2,event__has_type__event_type,113.18304443359375
pg_shared,20260716,shared,layer2,event_type__describes__event,247.75897216796875
pg_shared,20260716,shared,layer2,event__has_tag__tag,127.04545593261719
pg_shared,20260716,shared,layer2,tag__describes__event,264.4813232421875
pg_shared,20260716,shared,layer2,event__starts_in__zone,119.26904296875
pg_shared,20260716,shared,layer2,zone__start_of__event,224.24822998046875
pg_shared,20260716,shared,layer2,event__ends_in__zone,131.30282592773438
pg_shared,20260716,shared,layer2,zone__end_of__event,239.91305541992188
pg_shared,20260716,shared,layer2,event__belongs_to__possession,115.70291137695312
pg_shared,20260716,shared,layer2,possession__contains__event,272.64068603515625
pg_shared,20260716,shared,layer2,possession__owned_by__team,0.0
pg_shared,20260716,shared,layer2,team__has_possession__possession,0.0
pg_shared,20260716,shared,layer2,possession__next__possession,0.0
pg_shared,20260717,shared,layer1,event__next__event,79.4861068725586
pg_shared,20260717,shared,layer1,event__gap_0_2s__event,51.7617073059082
pg_shared,20260717,shared,layer1,event__gap_2_5s__event,78.60490417480469
pg_shared,20260717,shared,layer1,event__gap_5_15s__event,61.814449310302734
pg_shared,20260717,shared,layer1,event__gap_15_60s__event,45.15496063232422
pg_shared,20260717,shared,layer1,event__gap_60plus__event,0.0
pg_shared,20260717,shared,layer1,event__period_break__event,0.0
pg_shared,20260717,shared,layer1,player__performs__event,91.91000366210938
pg_shared,20260717,shared,layer1,event__performed_by__player,75.0185546875
pg_shared,20260717,shared,layer1,team__performs__event,98.23896026611328
pg_shared,20260717,shared,layer1,event__performed_by_team__team,69.95053100585938
pg_shared,20260717,shared,layer1,event__has_type__event_type,62.81296920776367
pg_shared,20260717,shared,layer1,event_type__describes__event,104.02960968017578
pg_shared,20260717,shared,layer1,event__has_tag__tag,78.9198226928711
pg_shared,20260717,shared,layer1,tag__describes__event,93.83143615722656
pg_shared,20260717,shared,layer1,event__starts_in__zone,88.87782287597656
pg_shared,20260717,shared,layer1,zone__start_of__event,92.86241149902344
pg_shared,20260717,shared,layer1,event__ends_in__zone,79.7536849975586
pg_shared,20260717,shared,layer1,zone__end_of__event,109.93868255615234
pg_shared,20260717,shared,layer1,event__belongs_to__possession,67.78568267822266
pg_shared,20260717,shared,layer1,possession__contains__event,79.81653594970703
pg_shared,20260717,shared,layer1,possession__owned_by__team,0.0
pg_shared,20260717,shared,layer1,team__has_possession__possession,0.0
pg_shared,20260717,shared,layer1,possession__next__possession,0.0
pg_shared,20260717,shared,layer2,event__next__event,162.13734436035156
pg_shared,20260717,shared,layer2,event__gap_0_2s__event,144.34228515625
pg_shared,20260717,shared,layer2,event__gap_2_5s__event,119.86075592041016
pg_shared,20260717,shared,layer2,event__gap_5_15s__event,81.52537536621094
pg_shared,20260717,shared,layer2,event__gap_15_60s__event,47.9582633972168
pg_shared,20260717,shared,layer2,event__gap_60plus__event,0.0
pg_shared,20260717,shared,layer2,event__period_break__event,0.0
pg_shared,20260717,shared,layer2,player__performs__event,155.15481567382812
pg_shared,20260717,shared,layer2,event__performed_by__player,120.6418228149414
