configuration,seed,task,layer,node_type,residual_norm,base_norm,norm_ratio,cosine
pg_task,20260716,event,layer1,possession,36.36697006225586,90.28631591796875,0.4027960349528241,0.1198829934000969
pg_task,20260716,event,layer2,event,71.866943359375,158.1644744873047,0.4543810713014667,-0.02370099164545536
pg_task,20260716,event,layer2,player,0.0,137.63677978515625,0.0,0.0
pg_task,20260716,event,layer2,team,0.0,31.999906539916992,0.0,0.0
pg_task,20260716,event,layer2,event_type,0.0,53.66548156738281,0.0,0.0
pg_task,20260716,event,layer2,tag,0.0,79.19575500488281,0.0,0.0
pg_task,20260716,event,layer2,zone,0.0,91.91277313232422,0.0,0.0
pg_task,20260716,event,layer2,possession,0.0,87.99974822998047,0.0,0.0
pg_task,20260716,time,layer1,event,59.352142333984375,161.67066955566406,0.3671175637306872,0.05207652598619461
pg_task,20260716,time,layer1,player,40.273502349853516,136.3164520263672,0.2954412453609309,-0.021603569388389587
pg_task,20260716,time,layer1,team,14.963027954101562,33.443695068359375,0.4474095318569592,0.007740382105112076
pg_task,20260716,time,layer1,event_type,39.36289978027344,56.283226013183594,0.6993717767892907,0.12591034173965454
pg_task,20260716,time,layer1,tag,25.55708885192871,86.07577514648438,0.2969138390962553,0.01386178657412529
pg_task,20260716,time,layer1,zone,40.027870178222656,102.85069274902344,0.38918425445999455,0.028671717271208763
pg_task,20260716,time,layer1,possession,38.656002044677734,90.28631591796875,0.42814906834607513,0.12316851317882538
pg_task,20260716,time,layer2,event,82.25199127197266,158.1644744873047,0.520040872253995,-0.024359537288546562
pg_task,20260716,time,layer2,player,0.0,137.63677978515625,0.0,0.0
pg_task,20260716,time,layer2,team,0.0,31.999906539916992,0.0,0.0
pg_task,20260716,time,layer2,event_type,0.0,53.66548156738281,0.0,0.0
pg_task,20260716,time,layer2,tag,0.0,79.19575500488281,0.0,0.0
pg_task,20260716,time,layer2,zone,0.0,91.91277313232422,0.0,0.0
pg_task,20260716,time,layer2,possession,0.0,87.99974822998047,0.0,0.0
pg_task,20260716,position,layer1,event,6.4939985275268555,161.67066955566406,0.04016806848994299,0.051900532096624374
pg_task,20260716,position,layer1,player,3.251796007156372,136.3164520263672,0.02385475823950721,-0.07295497506856918
pg_task,20260716,position,layer1,team,0.8718971610069275,33.443695068359375,0.02607059893426123,-0.2087816298007965
pg_task,20260716,position,layer1,event_type,1.2506135702133179,56.283226013183594,0.02222000512053766,-0.04236113280057907
pg_task,20260716,position,layer1,tag,2.5022032260894775,86.07577514648438,0.029069772788350847,0.01326349750161171
pg_task,20260716,position,layer1,zone,2.3384785652160645,102.85069274902344,0.02273663407326217,-0.01838512346148491
pg_task,20260716,position,layer1,possession,1.7476222515106201,90.28631591796875,0.019356446585974928,-0.2865695655345917
pg_task,20260716,position,layer2,event,9.654678344726562,158.1644744873047,0.06104201576253149,-0.004909040872007608
pg_task,20260716,position,layer2,player,0.0,137.63677978515625,0.0,0.0
pg_task,20260716,position,layer2,team,0.0,31.999906539916992,0.0,0.0
pg_task,20260716,position,layer2,event_type,0.0,53.66548156738281,0.0,0.0
pg_task,20260716,position,layer2,tag,0.0,79.19575500488281,0.0,0.0
pg_task,20260716,position,layer2,zone,0.0,91.91277313232422,0.0,0.0
pg_task,20260716,position,layer2,possession,0.0,87.99974822998047,0.0,0.0
pg_task,20260717,event,layer1,event,53.648468017578125,158.45790100097656,0.33856606504744435,0.06592193990945816
pg_task,20260717,event,layer1,player,45.17457962036133,137.19496154785156,0.3292728764285203,-0.10928823798894882
pg_task,20260717,event,layer1,team,9.069268226623535,33.136497497558594,0.2736942317845069,0.04035692289471626
pg_task,20260717,event,layer1,event_type,43.635066986083984,54.63337326049805,0.7986888669317029,0.007154893130064011
pg_task,20260717,event,layer1,tag,28.81387710571289,88.08489227294922,0.3271148588843947,0.039455387741327286
pg_task,20260717,event,layer1,zone,43.003822326660156,102.1070556640625,0.4211640620423427,-0.030900968238711357
pg_task,20260717,event,layer1,possession,18.3703556060791,92.35356903076172,0.1989133262403772,-0.09109543263912201
pg_task,20260717,event,layer2,event,57.07151412963867,157.60098266601562,0.3621266388331049,0.033761121332645416
pg_task,20260717,event,layer2,player,0.0,137.63677978515625,0.0,0.0
pg_task,20260717,event,layer2,team,0.0,31.99990463256836,0.0,0.0
pg_task,20260717,event,layer2,event_type,0.0,53.66547393798828,0.0,0.0
pg_task,20260717,event,layer2,tag,0.0,79.19576263427734,0.0,0.0
pg_task,20260717,event,layer2,zone,0.0,91.91276550292969,0.0,0.0
pg_task,20260717,event,layer2,possession,0.0,87.99976348876953,0.0,0.0
