variant,seed,group,samples,event_accuracy,event_macro_f1,time_mae_seconds,position_distance_mae_m
c1_categorical,20260717,possession_11plus_events,13683,0.7823576701015859,0.5950361851724014,1.6435449123382568,16.993732452392578
c1_categorical,20260717,pass_heavy_possession,40599,0.7689351954481638,0.5290539737523864,1.1276639699935913,13.125679969787598
d2_dynamic,20260717,CONTROL,48288,0.780400927766733,0.20704186105782418,1.0561153888702393,11.519083023071289
d2_dynamic,20260717,CONTESTED,43001,0.7209367224018046,0.5109405799036106,1.1102737188339233,20.234792709350586
d2_dynamic,20260717,restart,5227,0.7463171991582169,0.43963248822772866,1.2428629398345947,19.216249465942383
d2_dynamic,20260717,switch,11820,0.6658206429780034,0.4119614261644843,1.3907618522644043,17.77187156677246
d2_dynamic,20260717,boundary,5425,0.9706912442396314,0.1768031436176955,9.157330513000488,36.09917068481445
d2_dynamic,20260717,possession_1_3_events,43604,0.7443583157508485,0.5857762760887042,1.3194576501846313,16.78986358642578
d2_dynamic,20260717,possession_4_10_events,39237,0.7791115528710146,0.6132286342602764,1.6993732452392578,16.863811492919922
d2_dynamic,20260717,possession_11plus_events,13683,0.7873273404955053,0.6206056502090055,1.626540184020996,16.181856155395508
d2_dynamic,20260717,pass_heavy_possession,40599,0.7751668760314293,0.5854725874546165,1.1257401704788208,11.46858024597168
v3_j0,20260717,CONTROL,48288,0.6919938701126573,0.1702782842194413,1.052323818206787,11.79118537902832
v3_j0,20260717,CONTESTED,43001,0.4661752052277854,0.3755440743807743,1.1389387845993042,19.700313568115234
v3_j0,20260717,restart,5227,0.5446718959250048,0.3442768294318749,1.2541078329086304,20.353628158569336
v3_j0,20260717,switch,11820,0.46091370558375633,0.3174154618787906,1.4165418148040771,17.676353454589844
v3_j0,20260717,boundary,5425,0.9660829493087557,0.0982748921807613,9.469717979431152,30.403623580932617
v3_j0,20260717,possession_1_3_events,43604,0.5834327125951747,0.4961937817588993,1.3453809022903442,16.40777015686035
v3_j0,20260717,possession_4_10_events,39237,0.6272395952799653,0.5105601080433327,1.7239739894866943,16.51824188232422
v3_j0,20260717,possession_11plus_events,13683,0.6299057224292918,0.530247255309999,1.6708060503005981,15.551421165466309
v3_j0,20260717,pass_heavy_possession,40599,0.6444247395256041,0.48882503893998946,1.137661337852478,11.285792350769043
