split,method,seed,group,value,samples,mean_distance_m,median_distance_m,distance_rmse_m,x_mae_m,y_mae_m,loss
validation,PR-Refit,20260716,event_true,1,82,26.591097739898725,23.643399104346873,31.362383775894102,17.828461459224545,17.22155922178815,0.03709486126899719
validation,PR-Refit,20260716,event_true,2,431,28.177868901789303,22.391418600596847,34.13328316238213,19.25076588037534,17.723568280307433,0.04437975585460663
validation,PR-Refit,20260716,event_true,3,18,34.0747689220174,22.594633139160962,43.51753085625019,27.98422479070723,18.433607156905865,0.06257098913192749
validation,PR-Refit,20260716,event_true,4,326,35.839114040924805,29.82818466968696,42.83619280238975,25.7815400169351,20.717801609356528,0.06380407512187958
validation,PR-Refit,20260716,event_true,5,25,63.69959962341987,66.43131384227637,66.05701664537173,55.15746130496264,22.97806728005409,0.12769950926303864
validation,PR-Refit,20260716,event_true,6,568,13.896461398132658,9.115321819183283,20.147660070117166,10.61919473057521,6.958219099750506,0.01253332756459713
validation,PR-Refit,20260716,event_true,7,3657,9.657067822933607,5.968484712299087,14.481970123617122,6.950680459494274,5.534194002648683,0.007332078646868467
validation,PR-Refit,20260716,event_true,8,50,10.315615631402189,6.1388044819118885,19.313374503748623,9.088494632206856,4.360789383351803,0.010506384074687958
validation,PR-Refit,20260716,event_true,9,90,17.903801972291582,11.061301794791856,24.52400338681373,16.600417903314035,4.895739230182436,0.015221158973872662
validation,PR-Refit,20260716,zone_true,0,185,31.44333261231051,22.202443505631585,41.65572835742844,25.356268324461336,16.451838571316486,0.055429041385650635
validation,PR-Refit,20260716,zone_true,1,303,17.824739998581226,9.917550707737544,25.393664585851127,12.223976054551578,11.86745173879976,0.025123698636889458
validation,PR-Refit,20260716,zone_true,2,329,14.803985612617636,8.68451662572569,21.50411999107209,7.295054943954691,11.490583201128661,0.02184084989130497
validation,PR-Refit,20260716,zone_true,3,324,13.874401102167864,7.134161646124563,20.38729162976013,6.360838613300412,11.15203266416067,0.01993296854197979
validation,PR-Refit,20260716,zone_true,4,329,18.0374281251429,10.77872569988318,25.586946782028903,11.95772020423666,12.485420188008833,0.026572249829769135
validation,PR-Refit,20260716,zone_true,5,291,25.908022667679024,18.437980535296802,34.33146470471923,21.316659699203736,12.91848935058846,0.03768109530210495
validation,PR-Refit,20260716,zone_true,6,238,28.967131749039744,17.505686818551553,39.66441255607371,24.01814931044903,14.73216557555965,0.04961498826742172
validation,PR-Refit,20260716,zone_true,7,299,20.286405358363307,10.558668367852261,28.63968546861013,13.616072247957305,13.99828545367937,0.032598432153463364
validation,PR-Refit,20260716,zone_true,8,319,13.975845034912783,8.839040227754987,20.118092175530602,7.211071906792332,10.390785582503742,0.018620578572154045
validation,PR-Refit,20260716,zone_true,9,376,12.651005558557516,7.643383183479012,18.10753838814684,6.501783460497539,9.654709125215069,0.015213443897664547
validation,PR-Refit,20260716,zone_true,10,379,15.338268711089796,10.515195391856398,21.435312617668075,10.193643428798087,10.603672781138433,0.018539244309067726
validation,PR-Refit,20260716,zone_true,11,223,23.922043780124966,19.272890753378906,29.861871041055398,19.831135099244225,11.421321360051898,0.028575072064995766
validation,PR-Refit,20260716,zone_true,12,540,10.908171162964537,6.330459896410035,16.226079192662972,8.172595453759035,6.151379162073136,0.00875278003513813
validation,PR-Refit,20260716,zone_true,13,504,11.182989762911918,6.606536949294113,16.397619620213476,8.251011775185665,6.611830989519755,0.009339586831629276
validation,PR-Refit,20260716,zone_true,14,458,8.862658457897622,5.690525970908442,13.023485415966604,7.1213262154025285,3.8122510351728662,0.004812564700841904
validation,PR-Refit,20260716,zone_true,15,393,9.158646749319248,5.457387997534721,13.760092230769544,7.843196036023948,3.2925586036143413,0.004980898462235928
validation,PR-Refit,20260716,zone_true,16,533,9.759755059497026,6.1758102060622475,14.286520094709005,6.841082105074099,5.9062368109347005,0.007129103876650333
validation,PR-Refit,20260716,zone_true,17,546,9.473427669136193,6.713722517123227,12.788793010278912,6.652319416976892,5.845076331125075,0.005868773907423019
validation,PR-Refit,20260716,zone_true,18,485,19.56935626158379,11.126670589482169,27.87034424948411,17.340734652733218,5.924323107901308,0.01946934498846531
validation,PR-Refit,20260716,zone_true,19,242,28.857436700424795,21.891852874203202,37.48572535107701,27.283181556431224,6.067634689906412,0.033794648945331573
validation,PR-Refit,20260716,player_mask,0,573,25.323954582905362,16.883275505292904,33.749991610374124,18.16386392759403,14.571555371852966,0.03966658189892769
validation,PR-Refit,20260716,player_mask,1,6723,14.711218311192924,8.199163948725198,22.1505933844408,10.800278006916942,8.199923515018387,0.01685613952577114
validation,PR-Refit,20260717,event_true,0,2049,19.57938404508732,11.71948725619382,27.252379554685827,14.637487601259748,10.694564313456423,0.02528460882604122
validation,PR-Refit,20260717,event_true,1,82,29.07278817716409,26.9668228585372,32.940857414311814,19.226923169250167,18.930762350195792,0.03987647593021393
validation,PR-Refit,20260717,event_true,2,431,27.48965236313382,20.979862415321158,33.782080981383935,16.643072072191817,19.28629779698124,0.045947350561618805
validation,PR-Refit,20260717,event_true,3,18,30.638509049501977,22.098119793769982,36.940039724774756,25.61842927709222,16.004400364226765,0.044142767786979675
validation,PR-Refit,20260717,event_true,4,326,44.55450207752121,44.40425385372231,48.413808993422656,30.747900923451216,27.381681439221087,0.08366063237190247
validation,PR-Refit,20260717,event_true,5,25,66.19361333007167,69.82155124153019,68.18400979092934,58.118786957859996,23.118630979061127,0.13177208602428436
validation,PR-Refit,20260717,event_true,6,568,13.788882650879703,8.752693287866297,20.094067498960317,10.538526509780253,6.895852788508883,0.012345080263912678
validation,PR-Refit,20260717,event_true,7,3657,9.266106343663296,5.672390043058339,13.709097218635735,6.678220938044654,5.339298762621484,0.006516343913972378
validation,PR-Refit,20260717,event_true,8,50,12.406128906537766,9.744109418508955,17.444312674319942,9.836994713544845,7.28181492626667,0.009959787130355835
validation,PR-Refit,20260717,event_true,9,90,21.037565701816174,13.708677148009333,27.852891531706003,19.113519072532654,5.958751724163691,0.019421175122261047
validation,PR-Refit,20260717,zone_true,0,185,33.55986006361441,21.287845173419516,42.86314777221574,27.677429233753198,17.080302308378993,0.057211361825466156
validation,PR-Refit,20260717,zone_true,1,303,19.095903903956,10.914623180231986,26.498253364091738,13.000443386706975,12.873862511253986,0.027303211390972137
validation,PR-Refit,20260717,zone_true,2,329,15.657946272600428,9.090763627950617,22.61165178707246,6.7655183263915655,13.024778509393652,0.025036942213773727
validation,PR-Refit,20260717,zone_true,3,324,14.46926084403382,8.108597618752107,20.513307112135653,6.071392152872351,12.182413513093818,0.020444493740797043
validation,PR-Refit,20260717,zone_true,4,329,18.271937975189793,10.19323366368554,25.7000378634456,12.13560254649913,12.763705654347197,0.02655196003615856
validation,PR-Refit,20260717,zone_true,5,291,24.59614837985948,16.845962192077387,32.322688586810564,19.599606508446723,13.108642243232923,0.03363008052110672
validation,PR-Refit,20260717,zone_true,6,238,30.329440958157747,19.583877846974822,40.030604016316225,24.572973216281216,16.496445570141077,0.05097925662994385
validation,PR-Refit,20260717,zone_true,7,299,21.299923003264233,12.272235572468714,29.37624707059073,13.685825840635443,15.43039304027988,0.034918755292892456
validation,PR-Refit,20260717,zone_true,8,319,13.59330878916613,8.294728263873402,19.185975923521042,6.385957910723073,10.955403676624396,0.017547132447361946
validation,PR-Refit,20260717,zone_true,9,376,13.489643850535845,7.505635064237553,19.31917096908956,6.3859501259124025,10.942237812728482,0.01761585660278797
validation,PR-Refit,20260717,zone_true,10,379,16.488598122309266,10.44370185410924,22.87554520170406,10.401633538128833,11.88305715418428,0.021531471982598305
validation,PR-Refit,20260717,zone_true,11,223,25.686803259559014,20.319286334674672,32.23279944423567,20.437314403765406,13.349760339098394,0.03359770029783249
validation,PR-Refit,20260717,zone_true,12,540,10.46919096541565,6.017441566050554,15.521261151774576,7.700131768981616,6.07457513500143,0.008190292865037918
validation,PR-Refit,20260717,zone_true,13,504,11.038784463520642,6.757203603779315,15.501777827291487,8.346562338992953,6.211179901210088,0.008288930170238018
validation,PR-Refit,20260717,zone_true,14,458,8.128324308032008,4.7771502117194355,12.037712532529676,6.713272437217389,3.3243458015949967,0.004040924366563559
validation,PR-Refit,20260717,zone_true,15,393,8.937258150631465,5.831758658052523,12.964753970749118,7.877645981107049,2.9464509029121495,0.0043146247044205666
validation,PR-Refit,20260717,zone_true,16,533,9.64764921274372,5.8256621933983475,14.247307993550953,7.108802434483344,5.475723934050572,0.006974579766392708
validation,PR-Refit,20260717,zone_true,17,546,9.520894668436698,6.628791694028189,12.889106923590314,6.879126515526038,5.579573953653867,0.005869695916771889
validation,PR-Refit,20260717,zone_true,18,485,18.948346641214314,9.983630221193746,27.19501194491158,17.21303058298516,5.195818612747586,0.018384790048003197
validation,PR-Refit,20260717,zone_true,19,242,30.391472848114628,23.975610882850887,38.69105286648541,29.10952868863694,5.788690673910882,0.03577839583158493
validation,PR-Refit,20260717,player_mask,0,573,30.67865802543815,25.545071403353486,38.065944491449194,21.34929389980529,18.554941993603325,0.05180706828832626
validation,PR-Refit,20260717,player_mask,1,6723,14.53730781425367,8.303895734819614,21.744904505895104,10.570721260680486,8.222729268130156,0.016309132799506187
test,PR-Original,20260715,event_true,0,26326,20.85456733967091,12.755293733558442,28.74728119281917,15.768645014193947,11.102245801997649,0.027634091675281525
